Forecast_Month,Predicted_Sales_Quantity,Lower_Bound,Upper_Bound
2015-12-31,1576.8412512580726,1464.984752174135,1694.97000298569
2016-01-31,1563.1405277907966,1449.9224288048874,1686.1455320490652
2016-02-29,1550.3237219665707,1430.9193720117844,1671.3499331099433
2016-03-31,1536.6229984992947,1414.7741751518981,1666.190282586816
2016-04-30,1523.3642338535437,1400.6072523037767,1642.7945257706606
2016-05-31,1509.6635103862677,1388.9582382021586,1626.1631434697026
2016-06-30,1496.404745740517,1376.7061935986028,1613.6849150422001
2016-07-31,1482.704022273241,1359.9058451668484,1604.5538359561644
2016-08-31,1469.003298805965,1350.7599514379626,1589.916529379798
2016-09-30,1455.744534160214,1329.8354639996442,1578.580234618367
2016-10-31,1442.043810692938,1317.2650723929057,1555.9291660123447
2016-11-30,1428.785046047187,1311.3700475121188,1544.2503611164948
